Product Name,Category,Sell Price,Condition,Language,Add Qty,Finish,ASIN,TCG Player Name, TCG Player ID
Open the Armory,Shadows Over Innistrad,1.02,Near Mint,English,1,Normal,B01DFP3NA0,Open the Armory,116436
Jungle Shrine,Shards of Alara,0.47,Near Mint,English,1,Normal,B001KT0JBU,Jungle Shrine,27710
Predator Dragon,Shards of Alara,0.54,Near Mint,English,1,Normal,B001TCBKA2,Predator Dragon,27758
Past in Flames,Signature Spellbook: Chandra,0.65,Near Mint,English,1,Normal,B089NZ1C4B,Past in Flames,210726
Soul Shatter,Starter Commander Decks,2.69,Near Mint,English,1,Normal,,Soul Shatter,456957
Elspeth Resplendent,Streets of New Capenna,3.56,Near Mint,English,3,Normal,B09Z9RXB3P,Elspeth Resplendent,268362
Fight Rigging,Streets of New Capenna,1.0,Near Mint,English,1,Normal,B09Z9TJPHM,Fight Rigging,268664
Gala Greeters,Streets of New Capenna,1.22,Near Mint,English,1,Normal,B09Z9V2CW9,Gala Greeters,268366
"Jaxis, the Troublemaker",Streets of New Capenna,0.51,Near Mint,English,2,Normal,B09Z9W3KMX,"Jaxis, the Troublemaker",268339
"Lord Xander, the Collector",Streets of New Capenna,1.92,Near Mint,English,1,Normal,B09Z9WMHXS,"Lord Xander, the Collector",267923
Rabble Rousing,Streets of New Capenna,0.95,Near Mint,English,1,Normal,B09Z9W38Z9,Rabble Rousing,268750
Sanctuary Warden,Streets of New Capenna,0.62,Near Mint,English,1,Normal,,Sanctuary Warden,268919
Topiary Stomper,Streets of New Capenna,1.61,Near Mint,English,1,Normal,,Topiary Stomper,268570
Vivien on the Hunt,Streets of New Capenna,0.58,Near Mint,English,1,Normal,,Vivien on the Hunt,268431
Void Rend,Streets of New Capenna,1.38,Near Mint,English,1,Normal,,Void Rend,268812
Grapeshot,Strixhaven: Mystical Archives,0.48,Near Mint,English,1,Normal,B09HQ8W1TY,Grapeshot,235513
Lightning Helix,Strixhaven: Mystical Archives,0.72,Near Mint,English,1,Normal,B09HQ8VFCB,Lightning Helix,235493
Tendrils of Agony - Japanese Alternate Art,Strixhaven: Mystical Archives,1.38,Near Mint,English,1,Normal,,Tendrils of Agony (JP Alternate Art),235647
Access Tunnel,Strixhaven: School of Mages,0.82,Near Mint,English,2,Normal,B09GTYPWT9,Access Tunnel,235866
Blade Historian,Strixhaven: School of Mages,1.83,Near Mint,English,1,Normal,B09GV555GV,Blade Historian,235551
Blot Out the Sky,Strixhaven: School of Mages,0.63,Near Mint,English,2,Normal,B09GV92C16,Blot Out the Sky,236009
